"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2018","280.10","277.00","281.50","274.50","2.01M","1.41%"
"May 23, 2018","276.20","277.15","279.90","274.75","2.64M","-1.02%"
"May 22, 2018","279.05","272.70","279.90","271.50","3.30M","3.26%"
"May 21, 2018","270.25","267.50","271.50","264.60","1.80M","1.29%"
"May 18, 2018","266.80","271.50","274.55","265.80","1.86M","-1.73%"
"May 17, 2018","271.50","265.90","273.40","265.10","3.85M","3.04%"
"May 16, 2018","263.50","264.00","265.00","257.30","2.94M","0.00%"
"May 15, 2018","263.50","270.05","271.25","262.15","3.87M","-2.43%"
"May 14, 2018","270.05","271.00","273.00","266.70","2.42M","-0.35%"
"May 11, 2018","271.00","272.00","272.30","269.50","1.78M","0.61%"
"May 10, 2018","269.35","268.80","272.95","267.80","3.97M","0.75%"
"May 09, 2018","267.35","268.20","269.75","266.70","3.22M","-0.30%"
"May 08, 2018","268.15","268.05","272.00","266.65","3.92M","0.28%"
"May 07, 2018","267.40","273.80","273.80","265.30","7.18M","-1.44%"
"May 04, 2018","271.30","276.80","277.45","270.40","2.31M","-2.04%"
"May 03, 2018","276.95","278.25","281.80","276.10","2.41M","-1.27%"
"May 02, 2018","280.50","283.10","283.45","279.05","2.44M","-1.58%"
"Apr 30, 2018","285.00","287.50","288.00","282.70","1.71M","-0.61%"
"Apr 27, 2018","286.75","290.00","292.25","282.50","2.21M","-1.39%"
"Apr 26, 2018","290.80","290.50","292.95","288.25","2.78M","-0.05%"
"Apr 25, 2018","290.95","290.10","293.80","287.75","1.61M","0.15%"
"Apr 24, 2018","290.50","289.00","293.95","287.15","1.83M","0.24%"
"Apr 23, 2018","289.80","292.00","292.00","288.60","1.18M","-0.77%"
"Apr 20, 2018","292.05","283.25","294.95","282.45","2.44M","3.12%"
"Apr 19, 2018","283.20","285.25","287.25","281.70","2.33M","-0.67%"
"Apr 18, 2018","285.10","287.00","288.45","282.90","1.43M","-0.87%"
"Apr 17, 2018","287.60","286.25","290.40","285.45","3.00M","0.52%"
"Apr 16, 2018","286.10","284.60","286.80","283.35","1.22M","0.39%"
"Apr 13, 2018","285.00","282.50","285.50","280.00","1.84M","1.24%"
"Apr 12, 2018","281.50","281.55","282.75","279.10","1.34M","-0.67%"
"Apr 11, 2018","283.40","283.65","285.35","278.05","3.00M","0.89%"
"Apr 10, 2018","280.90","276.00","281.45","273.25","2.35M","2.35%"
"Apr 09, 2018","274.45","276.35","276.35","273.50","1.25M","-0.49%"
"Apr 06, 2018","275.80","277.70","278.80","274.50","1.53M","-0.72%"
"Apr 05, 2018","277.80","276.15","279.50","275.45","1.53M","1.18%"
"Apr 04, 2018","274.55","278.80","278.90","273.20","2.95M","-1.58%"
"Apr 03, 2018","278.95","276.20","279.60","275.15","1.64M","0.52%"
"Apr 02, 2018","277.50","283.35","283.50","275.15","2.52M","-2.05%"
"Mar 28, 2018","283.30","274.70","285.75","272.85","6.98M","2.57%"
"Mar 27, 2018","276.20","274.10","276.80","272.25","1.89M","1.01%"
"Mar 26, 2018","273.45","270.00","274.50","268.05","2.28M","1.30%"
"Mar 23, 2018","269.95","266.65","271.80","265.00","3.98M","0.20%"
"Mar 22, 2018","269.40","270.00","273.45","268.00","3.38M","-0.55%"
"Mar 21, 2018","270.90","270.90","272.55","269.05","2.74M","0.24%"
"Mar 20, 2018","270.25","269.10","273.30","268.35","1.80M","-0.75%"
"Mar 19, 2018","272.30","279.50","279.50","269.10","3.59M","-2.12%"
"Mar 16, 2018","278.20","280.30","281.40","276.20","11.02M","-5.85%"
"Mar 15, 2018","295.50","294.00","298.90","292.10","4.49M","0.82%"
"Mar 14, 2018","293.10","291.00","294.40","290.70","4.41M","-0.59%"
"Mar 13, 2018","294.85","297.50","298.65","290.00","6.31M","-0.94%"
"Mar 12, 2018","297.65","305.40","306.90","296.00","6.80M","-2.10%"
"Mar 09, 2018","304.05","305.00","307.50","302.10","2.14M","-0.47%"
"Mar 08, 2018","305.50","308.00","308.75","302.15","2.24M","-0.47%"
"Mar 07, 2018","306.95","306.00","308.95","302.90","4.79M","-0.02%"
"Mar 06, 2018","307.00","306.90","309.45","301.10","3.69M","0.39%"
"Mar 05, 2018","305.80","310.45","311.45","303.95","3.59M","-2.27%"
"Mar 01, 2018","312.90","310.80","314.15","308.00","2.54M","1.21%"
"Feb 28, 2018","309.15","307.00","311.80","305.00","3.73M","0.05%"
"Feb 27, 2018","309.00","313.65","316.95","307.20","6.67M","-1.61%"
"Feb 26, 2018","314.05","311.25","316.40","309.00","3.17M","1.00%"
"Feb 23, 2018","310.95","310.75","313.85","308.35","3.20M","-0.19%"
"Feb 22, 2018","311.55","306.50","315.00","306.50","7.82M","0.32%"
"Feb 21, 2018","310.55","311.00","312.00","305.15","5.40M","0.05%"
"Feb 20, 2018","310.40","305.00","311.85","302.00","8.60M","1.64%"
"Feb 19, 2018","305.40","303.00","307.40","301.05","2.94M","0.63%"
"Feb 16, 2018","303.50","308.10","310.45","302.60","1.93M","-1.49%"
"Feb 15, 2018","308.10","307.50","311.80","304.65","5.22M","0.37%"
"Feb 14, 2018","306.95","300.00","309.45","300.00","5.73M","2.10%"
"Feb 12, 2018","300.65","303.90","305.00","297.05","4.51M","0.17%"
"Feb 09, 2018","300.15","295.10","304.45","294.40","4.73M","0.05%"
"Feb 08, 2018","300.00","297.60","302.60","296.70","3.29M","0.81%"
"Feb 07, 2018","297.60","291.50","299.70","290.35","7.22M","2.50%"
"Feb 06, 2018","290.35","287.00","292.00","280.10","4.67M","-1.51%"
"Feb 05, 2018","294.80","293.00","296.00","285.00","7.80M","1.53%"
"Feb 02, 2018","290.35","292.10","297.55","286.05","6.39M","-1.78%"
"Feb 01, 2018","295.60","300.10","301.15","290.95","4.53M","-1.32%"
"Jan 31, 2018","299.55","303.50","304.55","298.00","5.20M","-2.08%"
"Jan 30, 2018","305.90","299.00","307.50","295.20","3.09M","1.38%"
"Jan 29, 2018","301.75","298.50","306.00","296.95","3.56M","0.78%"
"Jan 25, 2018","299.40","294.55","302.65","294.55","6.92M","1.65%"
"Jan 24, 2018","294.55","292.50","298.50","287.00","3.07M","0.49%"
"Jan 23, 2018","293.10","285.20","294.15","285.20","3.97M","2.82%"
"Jan 22, 2018","285.05","287.10","289.70","283.70","3.03M","0.37%"
"Jan 19, 2018","284.00","283.05","285.90","280.50","2.57M","0.34%"
"Jan 18, 2018","283.05","293.30","293.80","278.10","3.78M","-2.72%"
"Jan 17, 2018","290.95","293.00","294.95","286.30","4.36M","-0.22%"
"Jan 16, 2018","291.60","305.90","305.90","290.60","4.07M","-4.67%"
"Jan 15, 2018","305.90","309.25","310.45","304.50","2.64M","-1.00%"
"Jan 12, 2018","309.00","309.00","310.80","306.20","5.12M","0.29%"
"Jan 11, 2018","308.10","308.00","310.00","302.95","4.70M","-0.06%"
"Jan 10, 2018","308.30","306.00","309.80","305.00","15.30M","1.40%"
"Jan 09, 2018","304.05","299.70","311.00","296.65","27.64M","5.77%"
"Jan 08, 2018","287.45","279.00","290.60","279.00","4.89M","3.12%"
"Jan 05, 2018","278.75","278.50","280.65","278.00","3.34M","0.34%"
"Jan 04, 2018","277.80","272.90","279.85","272.20","6.92M","2.19%"
"Jan 03, 2018","271.85","271.00","273.45","269.70","9.24M","0.67%"
"Jan 02, 2018","270.05","268.00","270.90","267.00","5.66M","1.28%"
"Jan 01, 2018","266.65","263.00","267.30","262.60","3.08M","1.41%"
"Dec 29, 2017","262.95","263.10","264.45","261.80","2.80M","-0.08%"
"Dec 28, 2017","263.15","262.80","265.85","262.10","6.35M","0.23%"
"Dec 27, 2017","262.55","263.30","265.10","261.60","6.40M","-0.45%"
"Dec 26, 2017","263.75","267.70","267.70","263.00","4.58M","-0.81%"
"Dec 22, 2017","265.90","268.15","268.70","265.30","3.51M","-0.75%"
"Dec 21, 2017","267.90","271.40","271.40","266.85","2.74M","-0.58%"
"Dec 20, 2017","269.45","272.00","272.00","268.15","3.60M","0.69%"
"Dec 19, 2017","267.60","269.40","271.90","266.45","3.86M","-0.02%"
"Dec 18, 2017","267.65","269.95","274.65","262.30","4.25M","-1.24%"
"Dec 15, 2017","271.00","264.00","271.55","263.80","9.19M","3.10%"
"Dec 14, 2017","262.85","263.25","264.65","262.20","1.82M","-0.11%"
"Dec 13, 2017","263.15","264.85","264.95","261.00","1.50M","-0.09%"
"Dec 12, 2017","263.40","269.60","269.80","262.50","2.17M","-2.39%"
"Dec 11, 2017","269.85","265.65","270.40","265.30","2.35M","1.89%"
"Dec 08, 2017","264.85","264.90","265.60","262.35","2.41M","0.78%"
"Dec 07, 2017","262.80","266.00","266.90","262.00","1.93M","-0.87%"
"Dec 06, 2017","265.10","263.20","267.85","263.20","1.78M","-0.06%"
"Dec 05, 2017","265.25","265.00","266.35","263.10","1.28M","-0.24%"
"Dec 04, 2017","265.90","273.00","273.60","265.15","2.40M","-2.26%"
"Dec 01, 2017","272.05","275.20","276.35","270.00","1.99M","-1.36%"
"Nov 30, 2017","275.80","275.30","278.30","272.50","7.34M","-0.18%"
"Nov 29, 2017","276.30","276.90","282.10","274.50","5.21M","0.71%"
"Nov 28, 2017","274.35","272.00","276.40","269.55","7.24M","0.99%"
"Nov 27, 2017","271.65","270.85","272.40","269.35","887.04K","0.06%"
"Nov 24, 2017","271.50","270.75","272.85","270.40","876.30K","0.39%"
"Nov 23, 2017","270.45","271.50","274.10","268.80","1.49M","-0.50%"
